Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
82,,,,,,,4.61941877,50.66910148,177.286,Global,0.153,0.184,0.476,0.239,2.074,m,SINGLE,NONE,2026-03-11 11:42:15.8 UTC+01:00,2026-03-11 11:42:20.8 UTC+01:00,26,1.7,2.0,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
83,,,,,,,4.61941550,50.66910986,178.817,Global,0.167,0.184,0.550,0.248,2.074,m,SINGLE,NONE,2026-03-11 11:42:43.2 UTC+01:00,2026-03-11 11:42:48.2 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
84,,,,,,,4.61942596,50.66912554,176.695,Global,0.174,0.190,0.549,0.258,2.074,m,SINGLE,NONE,2026-03-11 11:43:14.0 UTC+01:00,2026-03-11 11:43:19.0 UTC+01:00,26,1.8,2.2,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
85,,,,,,,4.61936229,50.66912251,176.033,Global,0.141,0.145,0.441,0.203,2.074,m,SINGLE,NONE,2026-03-11 11:43:56.6 UTC+01:00,2026-03-11 11:44:01.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
86,,,,,,,4.61936346,50.66910233,176.749,Global,0.140,0.142,0.410,0.199,2.074,m,SINGLE,NONE,2026-03-11 11:44:23.4 UTC+01:00,2026-03-11 11:44:28.4 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
87,,,,,,,4.61929546,50.66911910,176.999,Global,0.121,0.130,0.371,0.178,2.074,m,SINGLE,NONE,2026-03-11 11:44:51.6 UTC+01:00,2026-03-11 11:44:56.6 UTC+01:00,26,1.3,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
88,,,,,,,4.61929496,50.66909925,176.713,Global,0.120,0.141,0.368,0.185,2.074,m,SINGLE,NONE,2026-03-11 11:45:14.0 UTC+01:00,2026-03-11 11:45:19.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
89,,,,,,,4.61929193,50.66912192,176.066,Global,0.120,0.134,0.370,0.180,2.074,m,SINGLE,NONE,2026-03-11 11:45:37.6 UTC+01:00,2026-03-11 11:45:42.6 UTC+01:00,25,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
90,,,,,,,4.61929049,50.66912959,176.005,Global,0.121,0.130,0.377,0.178,2.074,m,SINGLE,NONE,2026-03-11 11:45:59.0 UTC+01:00,2026-03-11 11:46:04.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
91,,,,,,,4.61935308,50.66913010,175.792,Global,0.141,0.141,0.420,0.199,2.074,m,SINGLE,NONE,2026-03-11 11:46:23.4 UTC+01:00,2026-03-11 11:46:28.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
92,,,,,,,4.61935297,50.66912453,175.930,Global,0.150,0.142,0.457,0.207,2.074,m,SINGLE,NONE,2026-03-11 11:46:46.4 UTC+01:00,2026-03-11 11:46:51.4 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
93,,,,,,,4.61942386,50.66912841,175.789,Global,0.234,0.174,0.661,0.292,2.074,m,SINGLE,NONE,2026-03-11 11:47:09.6 UTC+01:00,2026-03-11 11:47:14.6 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
94,,,,,,,4.61944115,50.66913712,172.964,Global,0.169,0.180,0.543,0.247,2.074,m,SINGLE,NONE,2026-03-11 11:47:28.8 UTC+01:00,2026-03-11 11:47:33.8 UTC+01:00,26,1.6,1.9,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
95,,,,,,,4.61943399,50.66913914,174.508,Global,0.178,0.188,0.539,0.259,2.074,m,SINGLE,NONE,2026-03-11 11:47:49.6 UTC+01:00,2026-03-11 11:47:54.6 UTC+01:00,26,1.7,2.1,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
96,,,,,,,4.61935698,50.66913590,176.072,Global,0.154,0.163,0.482,0.224,2.074,m,SINGLE,NONE,2026-03-11 11:48:15.0 UTC+01:00,2026-03-11 11:48:20.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
97,,,,,,,4.61928809,50.66913224,176.170,Global,0.131,0.142,0.432,0.193,2.074,m,SINGLE,NONE,2026-03-11 11:48:36.0 UTC+01:00,2026-03-11 11:48:41.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
98,,,,,,,4.61924310,50.66914202,175.206,Global,0.130,0.130,0.375,0.184,2.074,m,SINGLE,NONE,2026-03-11 11:49:23.0 UTC+01:00,2026-03-11 11:49:28.0 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
99,,,,,,,4.61930433,50.66914788,174.808,Global,0.131,0.130,0.405,0.185,2.074,m,SINGLE,NONE,2026-03-11 11:49:46.0 UTC+01:00,2026-03-11 11:49:51.0 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
100,,,,,,,4.61936130,50.66914939,174.693,Global,0.162,0.150,0.514,0.221,2.074,m,SINGLE,NONE,2026-03-11 11:50:08.6 UTC+01:00,2026-03-11 11:50:13.6 UTC+01:00,26,1.8,2.2,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
101,,,,,,,4.61942244,50.66914807,176.311,Global,0.198,0.170,0.499,0.261,2.074,m,SINGLE,NONE,2026-03-11 11:50:30.0 UTC+01:00,2026-03-11 11:50:35.0 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
102,,,,,,,4.61913541,50.66884947,179.370,Global,0.200,0.179,0.388,0.268,2.074,m,SINGLE,NONE,2026-03-11 11:52:15.8 UTC+01:00,2026-03-11 11:52:20.8 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
103,,,,,,,4.61927627,50.66885221,179.986,Global,0.141,0.163,0.388,0.215,2.074,m,SINGLE,NONE,2026-03-11 11:52:40.8 UTC+01:00,2026-03-11 11:52:45.8 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
104,,,,,,,4.61932226,50.66885969,180.616,Global,0.160,0.181,0.504,0.242,2.074,m,SINGLE,NONE,2026-03-11 11:53:02.2 UTC+01:00,2026-03-11 11:53:07.2 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
105,,,,,,,4.61942956,50.66886527,179.483,Global,0.284,0.236,0.778,0.369,2.074,m,SINGLE,NONE,2026-03-11 11:53:25.4 UTC+01:00,2026-03-11 11:53:30.4 UTC+01:00,26,1.8,2.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
