Name,Code,Code description,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites,Device type,Device serial number
20,,,,,,,4.61922074,50.66889301,181.631,Global,0.172,0.187,0.403,0.254,2.074,m,SINGLE,NONE,2026-03-11 11:13:59.0 UTC+01:00,2026-03-11 11:14:04.0 UTC+01:00,26,1.2,1.5,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
21,,,,,,,4.61917836,50.66889347,181.636,Global,0.189,0.191,0.421,0.269,2.074,m,SINGLE,NONE,2026-03-11 11:14:18.6 UTC+01:00,2026-03-11 11:14:23.6 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
22,,,,,,,4.61916090,50.66891527,181.512,Global,0.190,0.192,0.432,0.270,2.074,m,SINGLE,NONE,2026-03-11 11:14:42.8 UTC+01:00,2026-03-11 11:14:47.9 UTC+01:00,27,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
23,,,,,,,4.61920641,50.66891487,181.197,Global,0.170,0.179,0.414,0.247,2.074,m,SINGLE,NONE,2026-03-11 11:15:04.0 UTC+01:00,2026-03-11 11:15:09.0 UTC+01:00,26,1.2,1.4,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
24,,,,,,,4.61924480,50.66891376,180.255,Global,0.152,0.161,0.347,0.221,2.074,m,SINGLE,NONE,2026-03-11 11:15:27.6 UTC+01:00,2026-03-11 11:15:32.6 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
25,,,,,,,4.61925382,50.66893614,179.758,Global,0.150,0.160,0.340,0.220,2.074,m,SINGLE,NONE,2026-03-11 11:16:07.2 UTC+01:00,2026-03-11 11:16:12.2 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
26,,,,,,,4.61921463,50.66893857,179.759,Global,0.150,0.175,0.347,0.231,2.074,m,SINGLE,NONE,2026-03-11 11:16:29.8 UTC+01:00,2026-03-11 11:16:34.8 UTC+01:00,26,1.1,1.2,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
27,,,,,,,4.61918263,50.66894596,179.634,Global,0.150,0.162,0.350,0.221,2.074,m,SINGLE,NONE,2026-03-11 11:16:48.2 UTC+01:00,2026-03-11 11:16:53.2 UTC+01:00,26,1.1,1.3,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
28,,,,,,,4.61920871,50.66896155,178.646,Global,0.180,0.181,0.392,0.255,2.074,m,SINGLE,NONE,2026-03-11 11:17:22.8 UTC+01:00,2026-03-11 11:17:27.8 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
29,,,,,,,4.61924231,50.66896532,178.280,Global,0.182,0.172,0.380,0.250,2.074,m,SINGLE,NONE,2026-03-11 11:17:47.4 UTC+01:00,2026-03-11 11:17:52.4 UTC+01:00,26,1.4,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
30,,,,,,,4.61926452,50.66897905,177.995,Global,0.185,0.184,0.381,0.261,2.074,m,SINGLE,NONE,2026-03-11 11:18:11.2 UTC+01:00,2026-03-11 11:18:16.2 UTC+01:00,26,1.3,1.6,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
31,,,,,,,4.61923374,50.66898258,177.718,Global,0.193,0.192,0.467,0.273,2.074,m,SINGLE,NONE,2026-03-11 11:18:33.6 UTC+01:00,2026-03-11 11:18:38.6 UTC+01:00,26,1.4,1.7,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
32,,,,,,,4.61923461,50.66898641,179.399,Global,0.211,0.252,0.497,0.329,2.074,m,SINGLE,NONE,2026-03-11 11:19:04.4 UTC+01:00,2026-03-11 11:19:09.4 UTC+01:00,26,1.5,1.8,,,,,,,,,Global CS,,,,,,Reach RS2,824302D372E1EC90
