Name;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Correction type;Averaging start;Averaging end;Samples;PDOP;GDOP;CS name;Device type;Device serial number
95;4,619448;50,66917655;187,346;Global;0,006;0,005;0,016;0,008;2,074;m;FIX;NONE;2026-03-11 11:47:49,6 UTC+01:00;2026-03-11 11:47:54,6 UTC+01:00;26;1,7;2,1;Global CS;Reach RS2;824302D372E1EC90
96;4,6193797;50,66917365;187,245;Global;0,006;0,006;0,015;0,008;2,074;m;FIX;NONE;2026-03-11 11:48:15,0 UTC+01:00;2026-03-11 11:48:20,0 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
97;4,61931245;50,66917172;187,29;Global;0,005;0,006;0,013;0,008;2,074;m;FIX;NONE;2026-03-11 11:48:36,0 UTC+01:00;2026-03-11 11:48:41,0 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
98;4,619266;50,66918116;187,23;Global;0,005;0,005;0,013;0,007;2,074;m;FIX;NONE;2026-03-11 11:49:23,0 UTC+01:00;2026-03-11 11:49:28,0 UTC+01:00;26;1,4;1,7;Global CS;Reach RS2;824302D372E1EC90
99;4,61932957;50,66918636;187,286;Global;0,006;0,006;0,016;0,008;2,074;m;FIX;NONE;2026-03-11 11:49:46,0 UTC+01:00;2026-03-11 11:49:51,0 UTC+01:00;26;1,5;1,8;Global CS;Reach RS2;824302D372E1EC90
100;4,61938781;50,66918883;187,297;Global;0,006;0,007;0,018;0,009;2,074;m;FIX;NONE;2026-03-11 11:50:08,6 UTC+01:00;2026-03-11 11:50:13,6 UTC+01:00;26;1,8;2,2;Global CS;Reach RS2;824302D372E1EC90
101;4,61944762;50,66918922;187,401;Global;0,013;0,006;0,02;0,015;2,074;m;FIX;NONE;2026-03-11 11:50:30,0 UTC+01:00;2026-03-11 11:50:35,0 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
102;4,61915308;50,66888902;190,87;Global;0,006;0,008;0,015;0,01;2,074;m;FIX;NONE;2026-03-11 11:52:15,8 UTC+01:00;2026-03-11 11:52:20,8 UTC+01:00;26;1,4;1,6;Global CS;Reach RS2;824302D372E1EC90
103;4,61929526;50,66888954;190,753;Global;0,006;0,006;0,017;0,008;2,074;m;FIX;NONE;2026-03-11 11:52:40,8 UTC+01:00;2026-03-11 11:52:45,8 UTC+01:00;26;1,1;1,3;Global CS;Reach RS2;824302D372E1EC90
104;4,6193454;50,66889135;190,763;Global;0,006;0,006;0,016;0,008;2,074;m;FIX;NONE;2026-03-11 11:53:02,2 UTC+01:00;2026-03-11 11:53:07,2 UTC+01:00;26;1,5;1,8;Global CS;Reach RS2;824302D372E1EC90
105;4,61945739;50,66889903;190,769;Global;0,011;0,013;0,018;0,017;2,074;m;FIX;NONE;2026-03-11 11:53:25,4 UTC+01:00;2026-03-11 11:53:30,4 UTC+01:00;26;1,8;2,3;Global CS;Reach RS2;824302D372E1EC90
